"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.972718750E-1,-1.620514888E0,-6.520586854E-1,4.829104310E-1,1.812305580E0
6.072338750E-1,-1.771768908E0,-5.000321748E-1,1.592021406E-1,1.847848089E0
6.171968752E-1,-1.967985678E0,-3.213850455E-1,-3.135686338E-1,2.018559205E0
6.271598749E-1,-1.851439852E0,-7.245716147E-2,-5.375123155E-1,1.929248314E0
6.371228751E-1,-1.760364060E0,-1.782289072E-1,-5.348641115E-1,1.848439013E0
6.470848750E-1,-1.593853192E0,-3.023114280E-1,-2.500561774E-1,1.641428734E0
6.570478752E-1,-1.294854212E0,-2.782763019E-1,2.437014234E-1,1.346653450E0
6.670108750E-1,-5.989557347E-1,-5.911811306E-1,8.572713965E-1,1.201314842E0
6.769738751E-1,3.123579678E-1,-5.693026768E-1,1.902015637E0,2.009810071E0
6.869358751E-1,4.099155450E-1,-4.219234601E-1,1.986058252E0,2.071346794E0
6.968988753E-1,3.033974022E-3,-4.921212575E-1,1.340677087E0,1.428148307E0
7.068618750E-1,-6.145834418E-1,-5.532903691E-1,5.503276581E-1,9.933295378E-1
7.168248752E-1,-1.082234833E0,-1.733107410E-1,-4.147248799E-1,1.171864144E0
7.267878749E-1,-1.181607239E0,3.249172754E-1,-1.114246584E0,1.656294767E0
7.367498749E-1,-1.191895415E0,6.595856600E-1,-1.620124294E0,2.116712227E0
7.467128751E-1,-9.070583913E-1,6.332530897E-1,-1.668772543E0,2.002140405E0
7.566758753E-1,-2.068996328E-1,3.961274450E-1,-9.605215305E-1,1.059398896E0
7.666388750E-1,2.178177001E-1,2.533032093E-1,-8.287492633E-2,3.442024400E-1
7.766008750E-1,5.778203890E-1,-1.859819497E-1,6.495987618E-1,8.890693105E-1
7.865638752E-1,7.213306493E-1,-5.388424109E-1,9.022522724E-1,1.274648270E0
7.965268749E-1,5.696851578E-1,-7.146668699E-1,8.789101875E-1,1.267979902E0
8.064898751E-1,1.803963970E-1,-8.955143796E-1,4.881606460E-1,1.035755608E0
8.164518750E-1,-5.290312216E-2,-7.206791963E-1,-1.569579792E-1,7.394680869E-1
8.264148752E-1,-1.487686613E-1,-4.117436039E-1,-6.266823542E-1,7.644577706E-1
8.363778749E-1,-1.463844591E-1,-1.688110162E-1,-9.053214759E-1,9.324872888E-1
8.463408751E-1,2.970736384E-2,-2.651902333E-2,-7.833754545E-1,7.843869510E-1
8.563038749E-1,2.199827778E-1,-1.108973419E-1,-3.669314933E-1,4.419608170E-1
8.662658753E-1,2.812591128E-1,-2.619719989E-1,4.996621192E-2,3.875985540E-1
8.762288750E-1,4.002980447E-1,-3.448100147E-1,2.644771653E-1,5.908304679E-1
8.861918752E-1,6.543462624E-1,-3.910906535E-1,2.035257894E-1,7.890143707E-1
8.961548749E-1,6.685517804E-1,-3.506940678E-1,1.044312716E-1,7.621375878E-1
9.061168749E-1,2.578341436E-1,-4.526611034E-1,-4.422044545E-1,6.833193249E-1
9.160798751E-1,-4.736186206E-2,-3.362716911E-1,-1.090864738E0,1.142500623E0
9.260428753E-1,6.165742725E-3,-9.638893805E-2,-1.276982782E0,1.280630262E0
9.360058750E-1,-6.720168404E-2,-3.059489809E-2,-1.400374820E0,1.402320131E0
9.459678750E-1,-5.168960564E-2,-1.773570143E-2,-1.232298945E0,1.233510056E0
9.559308751E-1,-1.484094961E-1,-2.507313115E-1,-9.636188006E-1,1.006703910E0
9.658938749E-1,-5.361534957E-1,-5.773552430E-1,-6.514885819E-1,1.022368339E0
9.758568751E-1,-9.132438684E-1,-8.609321921E-1,-2.959872258E-1,1.289506510E0
9.858188750E-1,-1.242682723E0,-9.410103951E-1,-5.327339709E-2,1.559679123E0
9.957818752E-1,-1.647406817E0,-8.759219679E-1,-2.591129297E-1,1.883700620E0
1.005744875E0,-1.965852029E0,-8.700322138E-1,-6.507845771E-1,2.246119057E0
1.015707875E0,-2.233139220E0,-8.252248541E-1,-9.363655132E-1,2.558258628E0
1.025670875E0,-2.403615815E0,-7.149751644E-1,-9.101694024E-1,2.667764385E0
1.035632875E0,-2.428321471E0,-6.530303465E-1,-4.841465324E-1,2.560779503E0
1.045595875E0,-2.452110575E0,-7.321798655E-1,1.539080715E-1,2.563712411E0
1.055558875E0,-2.872249392E0,-4.955981215E-1,3.240965456E-1,2.932656243E0
1.065521875E0,-3.430196557E0,-4.751413087E-1,-3.170915812E-1,3.477435083E0
1.075483875E0,-3.881562137E0,-4.292915000E-1,-6.054704100E-1,3.951886920E0
1.085446875E0,-4.154214587E0,-3.108885990E-1,-5.832755488E-1,4.206466560E0
1.095409875E0,-4.433357738E0,-3.631988866E-1,-5.106718415E-1,4.477427833E0
1.105372875E0,-4.730584574E0,-5.047338478E-1,-1.903572750E-1,4.761241703E0
1.115334875E0,-4.745061110E0,-4.809678398E-1,-1.902561182E-1,4.773167962E0
1.125297875E0,-5.160718621E0,-5.791253413E-1,5.666478217E-1,5.223934590E0
1.135260875E0,-5.490036145E0,-6.572482355E-1,3.835820246E-1,5.542527157E0
1.145223875E0,-6.019537776E0,-7.145336996E-1,2.473378068E-1,6.066841800E0
1.155185875E0,-6.007025903E0,-6.936883027E-1,2.453129160E-1,6.051920529E0
1.165148875E0,-5.931010931E0,-6.980503987E-1,-2.881449401E-2,5.972017690E0
1.175111875E0,-5.528655835E0,-5.558262335E-1,1.560814816E-1,5.558717440E0
1.185074875E0,-5.539639830E0,-5.354121784E-1,1.563481146E-1,5.567649448E0
1.195036875E0,-4.430353439E0,-4.352569391E-1,2.305001646E-1,4.457646298E0
1.204999875E0,-4.456978735E0,-4.110459214E-1,2.322759640E-1,4.481915921E0
1.214962875E0,-2.970571493E0,-1.593626466E-1,1.042983059E0,3.152380863E0
1.224925875E0,-2.776274364E0,-3.066733047E-1,1.158345700E0,3.023824172E0
1.234888875E0,-2.796036491E0,-2.887199773E-1,1.159936143E0,3.040827377E0
1.244850875E0,-2.555338198E0,-6.363360342E-1,1.346292168E0,2.957563094E0
1.254813875E0,-2.669149573E0,-6.762809955E-1,1.379899040E0,3.079908568E0
1.264776875E0,-2.897279568E0,-8.095153590E-1,9.524897951E-1,3.155436709E0
1.274739875E0,-2.947096384E0,-8.240592116E-1,4.139366752E-1,3.088008137E0
1.284701875E0,-2.952204219E0,-8.224658453E-1,4.144576621E-1,3.092528896E0
1.294664875E0,-2.385232754E0,-7.845880209E-1,2.692093170E-1,2.525348948E0
1.304626792E0,-2.380082527E0,-7.753869154E-1,2.684597039E-1,2.517556020E0
1.314589792E0,-1.502033342E0,-1.037816824E0,1.298950186E0,2.240633729E0
1.324551792E0,-1.515100261E0,-1.159599489E0,1.384753983E0,2.357486663E0
1.334514792E0,-1.487110662E0,-1.174114179E0,1.382151387E0,2.345289894E0
1.344477792E0,-1.787431552E0,-1.156774115E0,8.378112781E-1,2.288004730E0
1.354440792E0,-2.295552838E0,-1.217277301E0,2.082971174E-1,2.606667326E0
1.364402792E0,-2.549149505E0,-1.197867469E0,-2.127152735E-1,2.824588016E0
1.374365792E0,-2.485062559E0,-1.369481933E0,-2.723884481E-1,2.850475777E0
1.384328792E0,-1.701682719E0,-1.458811308E0,6.962630510E-2,2.242476830E0
1.394291792E0,-6.529036812E-1,-1.275263116E0,8.229833239E-1,1.652235087E0
1.404253792E0,-6.427173199E-1,-1.296020585E0,8.228207713E-1,1.664268287E0
1.414216792E0,9.028618446E-1,-1.122606787E0,1.171842243E0,1.857045974E0
1.424179792E0,1.113007267E0,-9.956862469E-1,9.500515062E-1,1.769964447E0
1.434142792E0,8.804892281E-1,-6.565055660E-1,4.271771103E-1,1.178448608E0
1.444104792E0,4.166429128E-1,-5.315419063E-1,-4.480458230E-1,8.104771276E-1
1.454067792E0,4.611620779E-1,-5.684820567E-1,-4.490550524E-1,8.587739813E-1
1.464030792E0,-5.768713128E-1,-7.046409416E-1,-6.341521722E-1,1.109706423E0
1.473993792E0,-6.754914021E-1,-9.548117975E-1,-3.417522132E-1,1.218502679E0
1.483955792E0,-1.433019898E-1,-9.960079899E-1,5.016033947E-2,1.007513492E0
1.493918792E0,2.234475089E-1,-9.720192761E-1,2.001975542E-1,1.017265611E0
1.503881792E0,6.034879115E-1,-8.514550249E-1,-1.413248634E-1,1.053160024E0
1.513844792E0,9.535140811E-1,-5.141394597E-1,-4.941014171E-1,1.190657254E0
1.523807792E0,1.025166739E0,-3.384939254E-1,-6.933961612E-1,1.283099067E0
1.533769792E0,1.252841090E0,-2.684886476E-1,-8.322266024E-1,1.527840983E0
1.543732792E0,1.284319283E0,-2.697229949E-1,-8.337100410E-1,1.554766525E0
1.553695792E0,1.354690231E0,-5.025623381E-2,-4.940680879E-1,1.442849468E0
1.563658792E0,1.518159378E0,-7.872735009E-2,-3.045604134E-1,1.550407345E0
1.573620792E0,1.892037509E0,8.040447772E-2,-1.045002687E-1,1.896626247E0
1.583583792E0,2.008465221E0,4.486108102E-2,-8.033314168E-2,2.010571678E0
1.593546792E0,2.194483277E0,-2.453851292E-1,-4.815310729E-1,2.260053736E0
1.603509792E0,2.077552851E0,-3.426245447E-1,-7.420806634E-1,2.232554846E0
1.613471792E0,1.592042894E0,-4.928683124E-1,-9.771615368E-1,1.931932820E0
1.623434792E0,1.125989986E0,-7.402567707E-1,-7.027517062E-1,1.519767579E0
1.633397792E0,8.069056736E-1,-7.930833674E-1,-2.910743952E-2,1.131779677E0
1.643360792E0,8.679803527E-1,-7.604015250E-1,-3.160537004E-2,1.154382636E0
1.653322792E0,1.098632764E0,-7.785922860E-1,3.796398318E-1,1.399044781E0
1.663285792E0,2.050956060E0,-7.521104655E-1,6.116094017E-1,2.268514265E0
1.673248792E0,2.846098305E0,-3.796289048E-1,9.091169035E-1,3.011791363E0
1.683211792E0,3.201556684E0,-9.591078199E-2,6.766070509E-1,3.273677012E0
1.693173792E0,3.179002512E0,-1.596316916E-1,1.705393070E-1,3.187573199E0
1.703136792E0,2.949945732E0,-1.808285427E-1,6.856562018E-2,2.956278070E0
1.713099792E0,2.360854104E0,6.957185291E-2,6.771426558E-2,2.362849459E0
1.723062792E0,1.549551324E0,1.264725337E-1,-1.829880291E-1,1.565435795E0
1.733024792E0,1.071593850E0,6.451719079E-2,-3.242737162E-1,1.121440721E0
