"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.107884250E0,6.274544206E0,-2.418207761E-1,4.399942070E-1,6.294599048E0
3.117847250E0,6.135050690E0,-1.391655598E-1,7.651666403E-2,6.137105900E0
3.127809250E0,5.992907801E0,-2.545351446E-2,-3.683085126E-1,6.004268728E0
3.137772250E0,5.937545194E0,7.331984505E-2,-5.942039949E-1,5.967654239E0
3.147735250E0,5.519168143E0,-2.006325871E-2,-5.507925117E-1,5.546619864E0
3.157697250E0,4.910130932E0,-3.529244882E-1,-4.792986059E-1,4.946076083E0
3.167660250E0,4.361944232E0,-6.779438706E-1,-2.574569982E-1,4.421815179E0
3.177623250E0,3.799483601E0,-9.678238989E-1,-2.055126733E-1,3.926193346E0
3.187586250E0,3.694130516E0,-1.083992944E0,-1.452758271E-1,3.852628458E0
3.197548250E0,3.681121631E0,-9.673774640E-1,1.024783015E-2,3.806124096E0
3.207511250E0,3.356924221E0,-9.507975378E-1,-8.239837825E-2,3.489949237E0
3.217474250E0,2.966407106E0,-6.625278327E-1,-1.562317550E-1,3.043504987E0
3.227437250E0,2.926707143E0,-6.788242420E-1,-1.559323776E-1,3.008443444E0
3.237399250E0,2.676569982E0,-5.515524305E-1,-1.367219353E-1,2.736225473E0
3.247362250E0,2.382385160E0,-6.929871485E-1,-1.409868944E-1,2.485129281E0
3.257325250E0,2.202910723E0,-7.962206910E-1,-2.095203549E-1,2.351740169E0
3.267288250E0,1.918712068E0,-8.550504778E-1,-1.245825309E-1,2.104302290E0
3.277250250E0,1.376038708E0,-9.410781498E-1,-7.906371117E-2,1.668940287E0
3.287213250E0,1.318319819E0,-9.553467447E-1,-7.721248269E-2,1.629912978E0
3.297176125E0,5.508688910E-1,-9.318556289E-1,-1.742862028E-1,1.096442944E0
3.307138125E0,4.319879801E-1,-8.502870436E-1,-4.333283812E-1,1.047556756E0
3.317101125E0,6.422841143E-1,-7.322492281E-1,-3.442343563E-1,1.033061038E0
3.327064125E0,7.222503432E-1,-6.605553476E-1,-4.947972357E-2,9.800138614E-1
3.337027125E0,6.620688263E-1,-6.563555849E-1,-4.713908315E-2,9.334665917E-1
3.346989125E0,7.328112186E-1,-8.717851359E-1,7.480617803E-1,1.362577716E0
3.356952125E0,5.670675421E-1,-1.035902665E0,8.444741803E-1,1.451825255E0
3.366915125E0,2.676107613E-1,-1.245856006E0,8.477158767E-1,1.530488457E0
3.376878125E0,-2.090998670E-1,-1.440615358E0,8.792762232E-1,1.700653416E0
3.386840125E0,-2.284633601E-1,-1.427471694E0,8.794539785E-1,1.692131864E0
3.396803125E0,-1.275468061E0,-1.665869401E0,1.106641111E0,2.372044304E0
3.406766125E0,-1.574149830E0,-1.703322863E0,1.240639998E0,2.630293532E0
3.416729125E0,-1.708733584E0,-1.836937734E0,1.513076978E0,2.929763240E0
3.426691125E0,-1.452787799E0,-2.095798211E0,1.766835612E0,3.102365325E0
3.436654125E0,-1.446647345E0,-2.086392672E0,1.765721133E0,3.092506110E0
3.446617125E0,-1.302584231E0,-2.336287758E0,1.579084441E0,3.106199260E0
3.456580125E0,-1.595056988E0,-2.160224002E0,1.282092664E0,2.975657260E0
3.466542125E0,-2.031379143E0,-1.965360570E0,1.146137298E0,3.050044934E0
3.476505125E0,-2.533884763E0,-1.896331851E0,1.181070319E0,3.378102068E0
3.486468125E0,-2.492680897E0,-1.896665434E0,1.178910357E0,3.346733848E0
3.496430125E0,-3.250495833E0,-1.818157209E0,1.241572044E0,3.925929181E0
3.506393125E0,-3.647978735E0,-1.673606144E0,8.681904870E-1,4.106392711E0
3.516356125E0,-4.025252784E0,-1.397702350E0,4.527054691E-1,4.284994057E0
3.526319125E0,-4.512529623E0,-1.228553218E0,1.902701515E-1,4.680648389E0
3.536281125E0,-4.522397384E0,-1.256113631E0,1.928522819E-1,4.697562299E0
3.546244125E0,-4.854035961E0,-1.329834010E0,6.130700362E-1,5.070106357E0
3.556207125E0,-4.773966236E0,-1.479459873E0,5.305599761E-1,5.026037110E0
3.566170125E0,-4.640034592E0,-1.333639378E0,4.148991269E-1,4.845684296E0
3.576132125E0,-4.629980890E0,-1.374433355E0,4.181952024E-1,4.847749716E0
3.586095125E0,-4.738723606E0,-1.037482583E0,1.341772270E-1,4.852821349E0
3.596058125E0,-5.376486726E0,-5.584840123E-1,-5.011286008E-1,5.428595010E0
3.606021125E0,-5.623829795E0,-4.459359283E-1,-5.982584542E-1,5.673114982E0
3.615983125E0,-5.610111642E0,-4.788179648E-1,-5.952564937E-1,5.661885691E0
3.625946125E0,-5.965651006E0,-1.730789720E-1,-7.938823164E-1,6.020730635E0
3.635909125E0,-5.958813272E0,-2.033886722E-1,-7.906774575E-1,6.014481973E0
3.645871125E0,-6.741751939E0,-1.650811505E-1,-1.115688508E0,6.835439404E0
3.655834125E0,-6.739000239E0,-1.888046931E-1,-1.112946748E0,6.832892645E0
3.665797125E0,-6.913798658E0,-4.166353114E-2,-1.250010161E0,7.026014029E0
3.675760125E0,-6.803695003E0,1.709820874E-2,-1.174945360E0,6.904422832E0
3.685722125E0,-6.816544259E0,5.380023122E-3,-1.173005254E0,6.916736652E0
3.695685125E0,-6.011276245E0,2.794866756E-2,-9.513998741E-1,6.086163400E0
3.705648125E0,-5.589405482E0,1.626329944E-2,-9.047045946E-1,5.662173482E0
3.715611125E0,-5.218938178E0,1.001043320E-2,-9.677948821E-1,5.307922649E0
3.725573125E0,-4.811090501E0,4.680739984E-2,-9.172761083E-1,4.897976949E0
3.735536125E0,-4.830061207E0,4.675974503E-2,-9.163592649E-1,4.916440993E0
3.745499125E0,-3.988983382E0,-9.284501374E-3,-7.577459389E-1,4.060326776E0
3.755462125E0,-3.434444267E0,-1.172296572E-1,-5.895975584E-1,3.486656779E0
3.765424125E0,-3.058560979E0,-1.399950604E-1,-3.114314765E-1,3.077561282E0
3.775387125E0,-2.918547646E0,-1.607140844E-1,-1.220840156E-2,2.922994770E0
3.785350125E0,-2.901062424E0,-1.566441299E-1,-1.357957363E-2,2.905320116E0
3.795312125E0,-2.842487065E0,-2.705361964E-1,6.429598331E-2,2.856056113E0
3.805275125E0,-2.715545475E0,-4.742173024E-1,-7.853804648E-2,2.757759507E0
3.815238125E0,-2.531794384E0,-4.993299973E-1,-1.463610703E-1,2.584711746E0
3.825201125E0,-2.291157340E0,-4.230092150E-1,-1.760152245E-1,2.336518802E0
3.835163125E0,-2.037991467E0,-4.536266980E-1,-3.548511457E-1,2.117806822E0
3.845126125E0,-1.764740847E0,-5.143929365E-1,-6.037612689E-1,1.934796635E0
3.855089125E0,-1.677347192E0,-4.637290055E-1,-4.668469602E-1,1.801800288E0
3.865052125E0,-1.432501615E0,-6.878567284E-1,-2.449591595E-1,1.607859679E0
3.875014125E0,-9.999403886E-1,-9.115231059E-1,2.748015940E-2,1.353333038E0
3.884977125E0,-1.028688517E0,-9.646974657E-1,2.886173952E-1,1.439493406E0
3.894940125E0,-1.242765899E0,-1.168235607E0,2.425717413E-1,1.722812400E0
3.904902125E0,-1.342696423E0,-1.389494321E0,1.179558814E-1,1.935831021E0
3.914865125E0,-1.233405238E0,-1.479066209E0,1.825050491E-1,1.934485313E0
3.924828125E0,-9.231875702E-1,-1.398012837E0,3.114741611E-1,1.704033842E0
3.934791125E0,-6.084245330E-1,-1.353252840E0,3.224394447E-1,1.518367826E0
3.944753125E0,-2.831863185E-1,-1.425785357E0,1.542969114E-1,1.461802282E0
3.954716125E0,4.008481215E-1,-1.436959094E0,4.160937130E-2,1.492401418E0
3.964679125E0,1.234028697E0,-1.235405278E0,9.909451783E-2,1.748963336E0
3.974642125E0,1.522994879E0,-1.080122672E0,-1.503845394E-2,1.867191619E0
3.984604125E0,1.232884689E0,-1.303758352E0,-4.019487137E-1,1.838845634E0
3.994567125E0,7.949917524E-1,-1.373342265E0,-3.982971275E-1,1.636068906E0
4.004530125E0,4.660620080E-1,-1.194794465E0,-7.667921662E-2,1.284767415E0
4.014493125E0,5.129275877E-1,-1.098470943E0,1.398882025E-1,1.220369547E0
4.024455125E0,8.788047183E-1,-1.159619077E0,3.243567467E-1,1.490711721E0
4.034418125E0,1.459569253E0,-1.192512077E0,5.383841354E-1,1.960174721E0
4.044381125E0,1.941203968E0,-1.231619790E0,5.106741804E-1,2.354983710E0
4.054343125E0,2.233287593E0,-1.322647782E0,2.666704559E-1,2.609230492E0
4.064306125E0,2.543444669E0,-1.183350148E0,1.001803458E-1,2.807038378E0
4.074269125E0,2.820601521E0,-9.581918536E-1,-2.030621052E-2,2.978982530E0
4.084232125E0,2.914338235E0,-8.184735127E-1,-1.857145858E-1,3.032780267E0
4.094194125E0,2.733963327E0,-6.991210970E-1,-1.560019594E-1,2.826245282E0
4.104157125E0,2.460706275E0,-5.867220439E-1,1.724232799E-1,2.535556727E0
4.114120125E0,2.187091666E0,-7.196584187E-1,7.005297643E-1,2.406661618E0
4.124083125E0,2.136640866E0,-8.978682493E-1,1.011986969E0,2.528936378E0
4.134045125E0,2.274236813E0,-8.584053178E-1,1.145584736E0,2.687262020E0
4.144008125E0,2.512817830E0,-8.068451549E-1,9.971876657E-1,2.821282650E0
4.153971125E0,3.335305603E0,-7.458141106E-1,3.845129013E-1,3.439237171E0
4.163933125E0,4.187603942E0,-4.645658152E-1,3.770629638E-1,4.230132935E0
4.173896125E0,4.411104697E0,-2.577269203E-1,5.251600724E-1,4.449725937E0
4.183859125E0,4.421659506E0,-2.858092698E-1,4.228788221E-1,4.451020807E0
4.193822125E0,4.472635240E0,-3.315473601E-1,4.632041448E-1,4.508763436E0
4.203784125E0,4.470411251E0,-2.704826213E-1,6.292130291E-1,4.522570800E0
4.213747125E0,4.666690879E0,-2.617571137E-1,7.096672082E-1,4.727594324E0
4.223710125E0,4.872011471E0,-2.219337013E-1,9.213001621E-1,4.963319890E0
4.233672125E0,4.796075728E0,-1.671551213E-1,1.043327460E0,4.911091061E0
4.243635125E0,4.685044412E0,-2.019087053E-1,9.028855258E-1,4.775522017E0
4.253598125E0,4.980661801E0,-2.831370192E-1,8.635805422E-1,5.062897382E0
4.263561125E0,5.375237176E0,-1.759441442E-1,1.066941440E0,5.482927601E0
4.273523125E0,5.429388825E0,-1.716973481E-1,1.077586881E0,5.537954178E0
4.283486125E0,5.314620845E0,-1.725174566E-1,8.925681138E-1,5.391811833E0
4.293449125E0,5.231593307E0,-3.724987004E-2,6.267039889E-1,5.269128388E0
4.303412250E0,5.257927412E0,1.416395898E-1,3.130137330E-1,5.269140351E0
4.313374250E0,5.356824878E0,4.706316436E-1,-2.366736549E-1,5.382664892E0
4.323337250E0,4.943558879E0,5.793318211E-1,-3.517725867E-1,4.989803974E0
4.333300250E0,4.510844748E0,6.183493410E-1,-4.097471452E-1,4.571429642E0
4.343262250E0,4.110976473E0,4.527795826E-1,-3.699983579E-1,4.152353032E0
4.353225250E0,4.084164358E0,4.443182230E-1,-3.699352080E-1,4.124884150E0
4.363188250E0,3.599056251E0,2.710450503E-1,-1.592343003E-1,3.612758902E0
4.373151250E0,3.432564679E0,8.243411936E-2,-1.556827015E-1,3.437082013E0
4.383113250E0,3.133173497E0,-8.953483187E-2,-8.137570024E-3,3.134463091E0
4.393076250E0,2.710461905E0,-2.904298858E-1,1.977440625E-1,2.733140313E0
4.403039250E0,2.718411487E0,-2.660377872E-1,1.962196934E-1,2.738437380E0
4.413001250E0,2.098119263E0,-7.254384644E-1,7.473004729E-1,2.342396935E0
4.422964250E0,2.160903448E0,-7.918778177E-1,9.825883377E-1,2.502409645E0
4.432927250E0,2.407111719E0,-7.503736232E-1,1.213325315E0,2.798107525E0
4.442890250E0,2.469886696E0,-6.804401200E-1,1.230153016E0,2.841938685E0
4.452852250E0,2.413296319E0,-6.940634747E-1,1.230558813E0,2.796425973E0
4.462815250E0,2.890318750E0,-5.777298302E-1,1.063412061E0,3.133458065E0
4.472778250E0,2.712447912E0,-7.297580950E-1,7.595123827E-1,2.909773120E0
4.482741250E0,2.375096460E0,-9.420619438E-1,6.726560873E-1,2.642163907E0
4.492703250E0,1.934596030E0,-1.143943423E0,8.268343002E-1,2.394769992E0
4.502666250E0,1.893377399E0,-1.150643455E0,8.280025738E-1,2.365258252E0
4.512629250E0,8.719181601E-1,-1.417444012E0,1.304436044E0,2.114460261E0
4.522591250E0,7.345490111E-1,-1.297265019E0,1.685198541E0,2.249967311E0
4.532554250E0,7.854075082E-1,-9.336658537E-1,1.774936345E0,2.153832841E0
4.542517250E0,8.123917506E-1,-7.007242573E-1,1.206069505E0,1.614186635E0
4.552480250E0,7.874744989E-1,-7.432059601E-1,1.210585309E0,1.624188405E0
4.562442250E0,6.830009812E-1,-6.593102561E-1,-7.601380348E-2,9.523436630E-1
4.572405250E0,6.687834764E-1,-6.848418309E-1,-7.308844149E-2,9.600112457E-1
4.582368250E0,5.304318855E-1,-8.375666452E-1,-2.595280820E-1,1.024807638E0
4.592331250E0,5.221942550E-1,-8.482128169E-1,-2.581580794E-1,1.028978822E0
4.602293250E0,3.845935563E-1,-1.112920070E0,8.849176168E-2,1.180819240E0
4.612256250E0,-1.179628615E-1,-1.241729919E0,5.206162012E-1,1.351610024E0
4.622219250E0,-1.204581242E-1,-1.263958694E0,5.229556721E-1,1.373165822E0
4.632181250E0,-8.422168627E-1,-1.404963422E0,3.643253893E-1,1.678089524E0
4.642144250E0,-8.541546844E-1,-1.266821491E0,6.248568535E-2,1.529157080E0
4.652107250E0,-8.652961153E-1,-1.304533693E0,6.714006901E-2,1.566860974E0
4.662070250E0,-5.525560685E-1,-9.071718273E-1,-5.625571096E-1,1.201977302E0
4.672032250E0,-5.617918552E-1,-9.399953185E-1,-5.582605755E-1,1.229168889E0
4.681995250E0,-4.054325213E-1,-7.216133621E-1,-9.339763409E-1,1.247963613E0
4.691958250E0,-3.587427236E-1,-8.026606681E-1,-9.993365175E-1,1.331027410E0
4.701920250E0,-3.512201345E-1,-8.104978374E-1,-9.987354237E-1,1.333317207E0
4.711883250E0,-1.174987314E0,-1.118026955E0,-6.633251005E-1,1.752306951E0
4.721846250E0,-1.148798951E0,-1.113385362E0,-6.650991458E-1,1.732548085E0
4.731809250E0,-2.487859282E0,-1.369293068E0,2.545825070E-1,2.851178628E0
4.741771250E0,-3.168147740E0,-1.451906624E0,4.489702678E-1,3.513796700E0
4.751734250E0,-3.142677854E0,-1.460424263E0,4.491100162E-1,3.494418825E0
4.761697250E0,-4.366608263E0,-1.237317902E0,1.995596230E-1,4.542911771E0
4.771660250E0,-4.382766751E0,-1.258566976E0,2.028229541E-1,4.564402741E0
4.781622250E0,-4.847044737E0,-1.093469088E0,-3.142094886E-1,4.978779462E0
4.791585250E0,-4.722788189E0,-1.094543806E0,-1.391777658E-1,4.849961327E0
4.801548250E0,-4.606230669E0,-1.219695125E0,6.511225462E-2,4.765423043E0
4.811510250E0,-4.594829768E0,-1.211536067E0,5.995033264E-2,4.752249392E0
4.821473250E0,-4.604263958E0,-1.224168391E0,6.218104541E-2,4.764630240E0
4.831436250E0,-4.670442745E0,-9.315786901E-1,7.743233800E-2,4.763073593E0
4.841399250E0,-5.079256382E0,-8.145744431E-1,-2.431798518E-2,5.144216975E0
4.851361250E0,-5.563761349E0,-7.120661746E-1,-4.342054635E-1,5.625923299E0
4.861324250E0,-6.132636960E0,-4.575319071E-1,-1.072788071E0,6.242551223E0
4.871287250E0,-6.151817581E0,-4.694596423E-1,-1.070163841E0,6.261829010E0
4.881249250E0,-7.030848806E0,6.354256958E-2,-1.447817958E0,7.178652341E0
4.891212250E0,-7.085815557E0,6.473262414E-2,-1.444921832E0,7.231927234E0
4.901175250E0,-7.076209751E0,-3.012337862E-1,-8.161730719E-1,7.129489793E0
4.911138250E0,-7.123097988E0,-2.931463560E-1,-8.142013907E-1,7.175470970E0
4.921100250E0,-6.894194698E0,-4.612036662E-1,-5.941075158E-1,6.935098637E0
4.931063250E0,-6.497114961E0,-4.497454624E-1,-4.721322584E-1,6.529753645E0
4.941026250E0,-6.004190004E0,-3.521893470E-1,-5.527858275E-1,6.039859858E0
4.950989250E0,-5.538973832E0,-1.283772276E-1,-8.251105410E-1,5.601563999E0
4.960951250E0,-5.125990253E0,1.488455522E-1,-1.081178825E0,5.240885300E0
4.970914250E0,-4.892994789E0,2.080815013E-1,-1.131293557E0,5.026382499E0
4.980877250E0,-4.601048867E0,1.132898033E-4,-1.088163325E0,4.727975265E0
4.990839250E0,-4.061157027E0,-2.113153039E-1,-7.528219986E-1,4.135745581E0
5.000802250E0,-3.698628487E0,-2.424550163E-1,-1.820945746E-1,3.711036991E0
5.010765250E0,-3.361090654E0,-3.256281506E-1,-7.842870355E-3,3.376836624E0
5.020728250E0,-2.947289927E0,-4.893226339E-1,3.655503809E-1,3.009913891E0
5.030690250E0,-2.781536273E0,-6.141944557E-1,8.229166657E-1,2.965024571E0
5.040653250E0,-2.770836161E0,-8.901271205E-1,9.256276864E-1,3.053955785E0
5.050616250E0,-2.596748764E0,-1.143348103E0,7.833047032E-1,2.943452953E0
5.060578250E0,-2.494556391E0,-1.009460387E0,6.137079674E-1,2.760155671E0
5.070541250E0,-2.436709886E0,-8.391882243E-1,2.950692129E-1,2.594004200E0
5.080504250E0,-2.466043906E0,-7.146211886E-1,1.357928127E-1,2.571088422E0
5.090467250E0,-2.575386838E0,-7.140594904E-1,3.350969124E-1,2.693471415E0
5.100429250E0,-2.356392825E0,-8.180891313E-1,4.908421791E-1,2.542200428E0
5.110392250E0,-1.665869108E0,-1.042912307E0,4.522704363E-1,2.016763376E0
5.120355250E0,-1.015910669E0,-1.040471753E0,4.563231415E-1,1.524101954E0
5.130317250E0,-7.798016363E-1,-8.903155471E-1,3.622034347E-1,1.237717130E0
5.140280250E0,-8.951682244E-1,-9.123466862E-1,4.609593987E-2,1.278994707E0
5.150243250E0,-1.019260320E0,-9.700941534E-1,-1.445969653E-1,1.414525556E0
5.160206250E0,-9.742940623E-1,-1.008366226E0,-1.184347683E-1,1.407152501E0
5.170168250E0,-5.717054439E-1,-1.065160963E0,-3.319113493E-2,1.209345543E0
5.180131250E0,1.793011769E-1,-1.045081697E0,2.610723317E-2,1.060672548E0
5.190094250E0,7.288992852E-1,-9.619067359E-1,2.620324445E-1,1.234997870E0
5.200056250E0,7.549027303E-1,-1.129998618E0,3.318645716E-1,1.398895672E0
5.210019250E0,5.774500044E-1,-1.365928434E0,8.328715503E-2,1.485309982E0
5.219982250E0,5.329753147E-1,-1.383467596E0,-1.986123741E-2,1.482713642E0
5.229945250E0,4.681542514E-1,-1.251968101E0,-1.816139334E-1,1.348916658E0
5.239907250E0,7.309336777E-1,-1.151267718E0,-3.819623458E-1,1.416183828E0
5.249870250E0,1.098968394E0,-9.006039423E-1,-4.785390526E-1,1.499272696E0
5.259833250E0,1.800980720E0,-7.391620988E-1,-4.926618326E-1,2.008135415E0
5.269795250E0,2.598362303E0,-5.858236923E-1,-3.413820845E-1,2.685371070E0
5.279758250E0,2.973140467E0,-3.361866872E-1,-1.643400890E-1,2.996596968E0
5.289721250E0,3.014174180E0,-2.665153585E-1,-1.644055778E-1,3.030396941E0
5.299684250E0,2.718262091E0,-3.505991967E-1,-3.459493446E-1,2.762525935E0
5.309646500E0,2.100736623E0,-4.359140199E-1,-6.173034203E-1,2.232527470E0
5.319609500E0,1.786064765E0,-5.449166447E-1,-7.526191002E-1,2.013304996E0
5.329572500E0,1.877785652E0,-4.907812218E-1,-2.883770746E-1,1.962168825E0
5.339534500E0,2.030240983E0,-3.279234020E-1,2.172468656E-1,2.067996230E0
5.349497500E0,2.471276871E0,-2.304750947E-1,5.471327394E-1,2.541590521E0
5.359460500E0,2.663624246E0,1.636416391E-3,7.875527054E-1,2.777613376E0
5.369423500E0,2.698150593E0,1.104501030E-1,6.219466943E-1,2.771106915E0
5.379385500E0,3.128586356E0,-5.220101774E-2,2.273157710E-1,3.137267919E0
5.389348500E0,3.263302404E0,1.888429192E-1,1.994239676E-1,3.274839561E0
5.399311500E0,2.721815152E0,2.334365632E-1,2.175684625E-1,2.740457331E0
5.409273500E0,2.375357684E0,6.911672026E-2,2.540895867E-1,2.389908527E0
5.419236500E0,2.384708259E0,9.210457351E-2,2.528119701E-1,2.399839708E0
5.429199500E0,2.515273953E0,-6.619208917E-2,3.836972147E-1,2.545232407E0
5.439162500E0,2.599296103E0,-2.476695267E-1,2.828280669E-1,2.626341970E0
5.449124500E0,2.949478247E0,-4.570063155E-1,3.466936952E-1,3.004741789E0
5.459087500E0,3.406601872E0,-4.228457853E-1,4.909228706E-1,3.467670708E0
5.469050500E0,3.407054739E0,-3.823572522E-1,4.889927047E-1,3.463139173E0
5.479012500E0,5.365984542E0,-5.785769090E-1,1.407107304E0,5.577498750E0
5.488975500E0,5.382197701E0,-5.395248906E-1,1.405879973E0,5.588885193E0
5.498938500E0,5.725090706E0,-8.463198540E-1,1.804826726E0,6.062204253E0
5.508901500E0,5.692253913E0,-9.841248398E-1,1.740354742E0,6.033165913E0
5.518863500E0,5.693780621E0,-9.777771755E-1,1.740184588E0,6.033525368E0
5.528826500E0,4.628581066E0,-1.107092077E0,1.595029798E0,5.019316249E0
5.538789500E0,4.610654088E0,-1.126370274E0,1.595300524E0,5.007177336E0
5.548751500E0,3.580034674E0,-1.552143541E0,5.714647579E-1,3.943649301E0
5.558714500E0,3.296403784E0,-6.730776715E-1,7.924450707E-1,3.456483857E0
5.568677500E0,3.256509694E0,-7.223286959E-1,7.941185439E-1,3.428882966E0
5.578640500E0,3.699804946E0,-1.106843205E-1,-5.893777031E-1,3.748089345E0
5.588602500E0,3.658011680E0,-1.473702997E-1,-5.875668204E-1,3.707829854E0
5.598565500E0,3.614568622E0,2.328080241E-1,-6.224501395E-1,3.675153068E0
5.608528500E0,2.999891479E0,3.978387058E-2,-4.664183593E-1,3.036194613E0
5.618490500E0,2.995069572E0,3.152855225E-2,-4.659014654E-1,3.031253861E0
5.628453500E0,2.240179596E-1,-1.397748543E0,7.343190694E-1,1.594712993E0
5.638416500E0,2.286566654E-1,-1.410336721E0,7.350692672E-1,1.606754606E0
5.648379500E0,-8.778059408E-1,-4.512359177E-1,3.525929511E-2,9.876235826E-1
5.658341500E0,-3.961434518E-1,4.187251794E-1,1.274681318E-1,5.903461144E-1
5.668304500E0,-2.114644079E-1,6.933157620E-1,-2.105687606E-1,7.548133177E-1
5.678267500E0,-1.183380152E-1,2.316478269E-1,-6.370699328E-1,6.881298575E-1
5.688229500E0,-1.551260100E-1,2.343339647E-1,-6.366927874E-1,6.959555959E-1
5.698192500E0,-3.467602804E-1,-7.450762651E-1,-1.810461688E-1,8.415218643E-1
5.708155500E0,-1.187416923E-1,-5.681345493E-1,3.835831940E-2,5.816767284E-1
5.718118500E0,7.004597073E-2,-3.051475469E-1,-4.338809431E-2,3.160759246E-1
5.728080500E0,3.891075703E-1,5.526349694E-3,4.336587489E-2,3.915556677E-1
5.738043500E0,3.540985725E-1,1.058302179E-2,4.418039203E-2,3.570009894E-1
5.748006500E0,6.309457053E-1,5.489359111E-1,-5.215657890E-2,8.379399897E-1
5.757968500E0,4.669958815E-1,4.183995625E-1,-8.470919788E-2,6.327076698E-1
5.767931500E0,1.453159901E-1,1.505688363E-1,1.199907124E-2,2.095988768E-1
5.777894500E0,-2.178903152E-1,-1.015452686E-1,1.126314068E-1,2.654683876E-1
5.787856500E0,-2.570916203E-1,-1.061242963E-1,1.149913430E-1,3.009675672E-1
5.797819500E0,-3.170388832E-1,-4.771693423E-2,1.883417398E-1,3.718375589E-1
5.807782500E0,-6.554515323E-1,1.363219857E-2,6.478714943E-3,6.556252907E-1
5.817745500E0,-7.798956303E-1,7.837249719E-2,-2.034860283E-1,8.098061535E-1
5.827707500E0,-8.581921868E-1,1.196450689E-1,-2.771428192E-1,9.097345295E-1
5.837670500E0,-8.646662240E-1,1.247303192E-1,-2.770545262E-1,9.164957948E-1
5.847633500E0,-8.594658566E-1,-1.363439128E-2,-6.201556921E-3,8.595963672E-1
5.857595500E0,-8.629161523E-1,-4.823697098E-3,-6.529585719E-3,8.629543380E-1
5.867558500E0,-4.195024936E-1,2.766986500E-2,3.400459957E-1,5.407210397E-1
5.877521500E0,-8.434849776E-1,-8.716996204E-2,4.747149736E-1,9.718126444E-1
5.887484500E0,-8.358898100E-1,-8.138158400E-2,4.738805759E-1,9.643119499E-1
5.897446500E0,-1.748347593E0,-3.846854307E-1,4.454672009E-1,1.844761018E0
5.907409500E0,-1.881513983E0,-3.536923738E-1,3.535220736E-1,1.946836156E0
5.917372500E0,-1.679510224E0,-3.666966179E-1,2.202213442E-1,1.733123897E0
5.927334500E0,-1.468300462E0,-4.082691883E-1,1.093259758E-1,1.527920857E0
5.937297500E0,-1.455289823E0,-4.129752833E-1,1.088353944E-1,1.516661530E0
5.947260500E0,-6.399223508E-1,-5.390657745E-3,4.750687301E-2,6.417059897E-1
5.957223500E0,-1.786908372E-1,2.734742030E-1,-4.309514880E-2,3.295083411E-1
5.967185500E0,-1.691074701E-1,2.707936931E-1,-4.347054005E-2,3.222052894E-1
5.977148500E0,-5.208246909E-1,6.467071675E-2,-1.382106364E-2,5.250063639E-1
5.987111500E0,-5.143725808E-1,5.865817107E-2,-1.379650533E-2,5.178902167E-1
5.997073500E0,-6.863371101E-1,1.115524493E-2,-5.652795732E-2,6.887513907E-1
6.007036500E0,-7.869527811E-1,5.576964654E-2,-7.105477989E-2,7.921197604E-1
6.016999500E0,-9.947128317E-1,-3.140956141E-2,-6.147645593E-2,9.971055775E-1
6.026962500E0,-1.330400898E0,-6.173292942E-2,1.205695868E-3,1.331832931E0
6.036924500E0,-1.468449566E0,7.622583814E-2,-5.103742182E-2,1.471312110E0
6.046887500E0,-1.409667215E0,1.162764148E-1,-3.155163413E-1,1.449217866E0
6.056850500E0,-1.584747469E0,1.523679880E-1,-4.765831590E-1,1.661858012E0
6.066812500E0,-1.742099259E0,2.062272761E-1,-4.770567834E-1,1.817972137E0
6.076775500E0,-1.674964744E0,1.563364933E-1,-4.435615933E-1,1.739739889E0
6.086738500E0,-1.227459204E0,2.196393270E-1,-8.137985176E-1,1.489014963E0
6.096700500E0,-9.116819309E-1,3.359813768E-1,-8.374294549E-1,1.282706327E0
6.106663500E0,-8.391785033E-1,2.572793160E-1,-7.687767112E-1,1.166803685E0
6.116626500E0,-8.402238393E-1,2.436537686E-1,-8.712310392E-1,1.234660594E0
6.126589500E0,-7.587417928E-1,2.183603217E-1,-5.207974648E-1,9.458331447E-1
6.136551500E0,-6.616857605E-1,4.143929042E-2,-4.086619020E-2,6.642403977E-1
